Time,Target,EffTarget,Current,Mode,SafeState,k_used,c_used,vmax_s,ErrToDoctor,ErrToEff
2025-10-09 19:55:15,0.00,0.00,0.00,normal,IDLE,0.050,0.400,-1.00,0.00,0.00
2025-10-09 19:55:15,0.00,0.00,1.26,normal,IDLE,0.140,0.400,-1.00,5.34,5.34
2025-10-09 19:55:15,0.00,0.00,0.00,normal,IDLE,0.050,0.400,-1.00,0.00,0.00
2025-10-09 19:55:15,0.00,0.00,-1.36,normal,IDLE,0.140,0.400,-1.00,1.26,1.26
2025-10-09 19:55:15,5.00,5.00,0.25,normal,IDLE,0.050,0.400,-1.00,5.00,5.00
2025-10-09 19:55:15,5.00,5.00,-1.97,normal,IDLE,0.150,0.400,-1.00,6.36,6.36
2025-10-09 19:55:15,5.00,5.00,0.64,normal,IDLE,0.050,0.400,-1.00,4.75,4.75
2025-10-09 19:55:15,5.00,5.00,-1.23,normal,IDLE,0.160,0.400,-1.00,6.97,6.97
2025-10-09 19:55:15,5.00,5.00,1.09,normal,IDLE,0.050,0.400,-1.00,4.36,4.36
2025-10-09 19:55:15,5.00,5.00,0.28,normal,IDLE,0.170,0.400,-1.00,6.23,6.23
2025-10-09 19:55:15,5.00,5.00,1.55,normal,IDLE,0.050,0.400,-1.00,3.91,3.91
2025-10-09 19:55:15,5.00,5.00,1.98,normal,IDLE,0.170,0.400,-1.00,4.72,4.72
2025-10-09 19:55:15,5.00,5.00,2.01,normal,IDLE,0.050,0.400,-1.00,3.45,3.45
2025-10-09 19:55:15,5.00,5.00,3.52,normal,IDLE,0.170,0.400,-1.00,3.02,3.02
2025-10-09 19:55:15,5.00,5.00,2.43,normal,IDLE,0.050,0.400,-1.00,2.99,2.99
2025-10-09 19:55:15,5.00,5.00,4.69,normal,IDLE,0.170,0.400,-1.00,1.48,1.48
2025-10-09 19:55:15,5.00,5.00,2.81,normal,IDLE,0.050,0.400,-1.00,2.57,2.57
2025-10-09 19:55:15,5.00,5.00,5.45,normal,IDLE,0.160,0.400,-1.00,0.31,0.31
